App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Magic String Test,New Eager Test
15,MestoTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/15/MestoTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/15/Mesto.java,,,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16,RacunTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/16/RacunTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/16/Racun.java,,,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
17,MathUtilsTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/17/MathUtilsTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/17/MathUtils.java,,,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
18,ServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/18/ServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/18/Service.java,,,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
19,CompraTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/19/CompraTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/19/Compra.java,,,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
20,DataTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/20/DataTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/20/Data.java,,,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
21,JUnitDescuentoTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/21/JUnitDescuentoTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/21/JUnitDescuento.java,,,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
22,CurrencyTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/22/CurrencyTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/22/Currency.java,,,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
23,ExchangeRecordPairTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/23/ExchangeRecordPairTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/23/ExchangeRecordPair.java,,,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
25,ProcessorTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/25/ProcessorTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/25/Processor.java,,,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
26,ProcessorTest1.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/26/ProcessorTest1.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/26/Processor1.java,,,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
28,LeafTrieTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/28/LeafTrieTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/28/LeafTrie.java,,,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
29,NodeTrieTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/29/NodeTrieTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/29/NodeTrie.java,,,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
30,PointQuadtreeTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/30/PointQuadtreeTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/30/PointQuadtree.java,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
31,TrieTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/31/TrieTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/31/Trie.java,,,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
32,AppointmentTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/32/AppointmentTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/32/Appointment.java,,,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,ClientTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/33/ClientTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/33/Client.java,,,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,ProductRepositoryTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/34/ProductRepositoryTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/34/ProductRepository.java,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
35,AccountTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/35/AccountTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/35/Account.java,,,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
36,BankTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/36/BankTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/36/Bank.java,,,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
37,CommercialAccountTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/37/CommercialAccountTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/37/CommercialAccount.java,,,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,ConsumerAccountTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/39/ConsumerAccountTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/39/ConsumerAccount.java,,,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
40,TransactionTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/40/TransactionTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/40/Transaction.java,,,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
41,BackNavigationStringMatchingAlgorithmTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/41/BackNavigationStringMatchingAlgorithmTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/41/BackNavigationStringMatchingAlgorithm.java,,,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
42,FacebookTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/42/FacebookTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/42/Facebook.java,,,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,CalendarTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/43/CalendarTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/43/Calendar.java,,,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
44,CalendarModelTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/44/CalendarModelTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/44/CalendarModel.java,,,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
45,CalendarEventTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/45/CalendarEventTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/45/CalendarEvent.java,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
46,ConsoleViewTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/46/ConsoleViewTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/46/ConsoleView.java,,,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,ViewFactoryTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/47/ViewFactoryTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/47/ViewFactory.java,,,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,UserProfileTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/48/UserProfileTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/48/UserProfile.java,,,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
49,SocialNetworkAndControllerTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/49/SocialNetworkAndControllerTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/49/SocialNetworkAndController.java,,,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
50,ProfileFactoryTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/50/ProfileFactoryTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/50/ProfileFactory.java,,,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
51,OrganizationProfileTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/51/OrganizationProfileTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/51/OrganizationProfile.java,,,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
52,JsonProcessorTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/52/JsonProcessorTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/52/JsonProcessor.java,,,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
53,HotelReviewServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/53/HotelReviewServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/53/HotelReviewService.java,,,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
54,JdbcUserDaoTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/54/JdbcUserDaoTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/54/JdbcUserDao.java,,,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
55,MenuTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/55/MenuTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/55/Menu.java,,,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,MoneyBoxTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/56/MoneyBoxTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/56/MoneyBox.java,,,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
57,SnackInputTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/57/SnackInputTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/57/SnackInput.java,,,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
