App;TestClass;TestFilePath;ProductionFilePath;RelativeTestFilePath;RelativeProductionFilePath;NumberOfMethods;Assertion Roulette;Conditional Test Logic;Constructor Initialization;Default Test;EmptyTest;Exception Catching Throwing;General Fixture;Mystery Guest;Print Statement;Redundant Assertion;Sensitive Equality;Verbose Test;Sleepy Test;Lazy Test;Duplicate Assert;Unknown Test;IgnoredTest;Resource Optimism;Magic Number Test;Dependent Test;Magic String Test;New Eager Test
G03_01;DefaultConversionServiceTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G03/01/DefaultConversionServiceTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G03/01/DefaultConversionService.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true
G03_02;BaseExecutorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G03/02/BaseExecutorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G03/02/BaseExecutor.java;;;2;true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false
G03_03;ExpressionEvaluatorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G03/03/ExpressionEvaluatorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G03/03/ExpressionEvaluator.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G03_04;SimpMessageTypeMessageConditionTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G03/04/SimpMessageTypeMessageConditionTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G03/04/SimpMessageTypeMessageCondition.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G03_05;DbDropAllCommandTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G03/05/DbDropAllCommandTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G03/05/DbDropAllCommand.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G04_01;EarlyTerminationMultiDataSetIteratorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G04/01/EarlyTerminationMultiDataSetIteratorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G04/01/EarlyTerminationMultiDataSetIterator.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true
G04_02;MethodMatchersTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G04/02/MethodMatchersTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G04/02/MethodMatchers.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G04_04;PatriciaTrieTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G04/04/PatriciaTrieTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G04/04/PatriciaTrie.java;;;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;true
G04_05;GenericMessagingTemplateTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G04/05/GenericMessagingTemplateTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G04/05/GenericMessagingTemplate.java;;;3;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G05_01;LoggerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G05/01/LoggerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G05/01/Logger.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false
G05_02;ScrollReaderTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G05/02/ScrollReaderTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G05/02/ScrollReader.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false
G05_03;AddTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G05/03/AddTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G05/03/Add.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false
G05_04;TestTimeStringParser.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G05/04/TestTimeStringParser.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G05/04/TimeStringParser.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true
G05_05;ConfigurationTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G05/05/ConfigurationTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G05/05/Configuration.java;;;2;true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;true;false
G06_01;TestBase64Coder.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G06/01/TestBase64Coder.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G06/01/Base64Coder.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G06_02;WordVectorSerializerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G06/02/WordVectorSerializerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G06/02/WordVectorSerializer.java;;;3;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false
G06_03;PathVariableMapMethodArgumentResolverTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G06/03/PathVariableMapMethodArgumentResolverTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G06/03/PathVariableMapMethodArgumentResolver.java;;;5;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true
G06_04;ToolMainTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G06/04/ToolMainTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G06/04/ToolMain.java;;;3;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G06_05;FileUtilsTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G06/05/FileUtilsTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G06/05/FileUtils.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false
G07_01;KoreanTokenizerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G07/01/KoreanTokenizerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G07/01/KoreanTokenizer.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G07_02;JdkCompilerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G07/02/JdkCompilerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G07/02/JdkCompiler.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G07_03;MarshallingMessageConverterTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G07/03/MarshallingMessageConverterTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G07/03/MarshallingMessageConverter.java;;;5;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G07_05;EJsonTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G07/05/EJsonTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G07/05/EJson.java;;;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true
G08_01;PropertiesWrapperTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G08/01/PropertiesWrapperTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G08/01/PropertiesWrapper.java;;;1;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;true
G08_02;StringUtilTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G08/02/StringUtilTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G08/02/StringUtil.java;;;4;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false
G08_03;DoiFetcherTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G08/03/DoiFetcherTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G08/03/DoiFetcher.java;;;7;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false
G08_04;DurationTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G08/04/DurationTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G08/04/Duration.java;;;3;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true
G08_05;SchemaExportTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G08/05/SchemaExportTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G08/05/SchemaExport.java;;;1;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false
G09_01;DefaultSqlRowTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G09/01/DefaultSqlRowTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G09/01/DefaultSqlRow.java;;;1;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true
G09_02;ReuseExecutorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G09/02/ReuseExecutorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G09/02/ReuseExecutor.java;;;3;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G09_03;LayoutEntryTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G09/03/LayoutEntryTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G09/03/LayoutEntry.java;;;3;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;true;false;true;true
G09_04;FieldComparatorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G09/04/FieldComparatorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G09/04/FieldComparator.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false
G09_05;TestCounterStorage.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G09/05/TestCounterStorage.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G09/05/CounterStorage.java;;;3;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G10_01;TokenQueueTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G10/01/TokenQueueTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G10/01/TokenQueue.java;;;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true
G10_02;RedisRegistryTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G10/02/RedisRegistryTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G10/02/RedisRegistry.java;;;4;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G10_03;RequestHeaderMapMethodArgumentResolverTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G10/03/RequestHeaderMapMethodArgumentResolverTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G10/03/RequestHeaderMapMethodArgumentResolver.java;;;3;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true
G10_04;IsbnFetcherTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G10/04/IsbnFetcherTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G10/04/IsbnFetcher.java;;;3;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G10_05;CsvReporterFactoryTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G10/05/CsvReporterFactoryTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G10/05/CsvReporterFactory.java;;;3;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G11_01;RecordReaderDataSetiteratorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G11/01/RecordReaderDataSetiteratorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G11/01/RecordReaderDataSetIterator.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;true
G11_02;DocumentTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G11/02/DocumentTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G11/02/Document.java;;;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true
G11_03;LogConfigurationTaskTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G11/03/LogConfigurationTaskTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G11/03/LogConfigurationTask.java;;;2;true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;true;false
G11_04;JsonPathExpressionTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G11/04/JsonPathExpressionTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G11/04/JsonPathExpression.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G11_05;ConnectorServerFactoryBeanTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G11/05/ConnectorServerFactoryBeanTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G11/05/ConnectorServerFactoryBean.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G12_01;DAGraphTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G12/01/DAGraphTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G12/01/DAGraph.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G12_02;GroovyScriptFactoryTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G12/02/GroovyScriptFactoryTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G12/02/GroovyScriptFactory.java;;;1;true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;true;false
G12_03;BibDatabaseContextTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G12/03/BibDatabaseContextTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G12/03/BibDatabaseContext.java;;;2;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false
G12_04;PropertyResourceConfigurerTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G12/04/PropertyResourceConfigurerTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G12/04/PropertyResourceConfigurer.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false
G12_05;CacheKeyTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G12/05/CacheKeyTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G12/05/CacheKey.java;;;1;true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;true
G13_01;PojoUtilsTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G13/01/PojoUtilsTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G13/01/PojoUtils.java;;;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false
G13_02;CustomImporterTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G13/02/CustomImporterTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G13/02/CustomImporter.java;;;3;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false
G13_03;GravesBidirectionalLSTMTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G13/03/GravesBidirectionalLSTMTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G13/03/GravesBidirectionalLSTM.java;;;1;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false
G13_04;EncodedGradientsAccumulatorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G13/04/EncodedGradientsAccumulatorTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G13/04/EncodedGradientsAccumulator.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G13_05;MessageHeaderAccessorTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G13/05/MessageHeaderAccessorTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G13/05/MessageHeaderAccessor.java;;;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false
